beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0,0,0,9.166629791259766,8.517701148986816,1.5868011713027954,0.69309002161026,,,,
0.0,0,1,9.315019607543945,8.04981803894043,1.1188836097717285,0.6930934190750122,,,,
0.0,0,2,8.621686935424805,8.642560005187988,1.7190178632736206,0.6923542022705078,,,,
0.0,0,3,9.851763725280762,7.934194087982178,1.0235886573791504,0.6910605430603027,,,,
0.0,0,4,10.024337768554688,7.895573139190674,0.9767986536026001,0.6918774843215942,,,,
0.0,0,5,9.55461597442627,8.403656005859375,1.4834140539169312,0.6920242309570312,,,,
0.0,0,6,9.307239532470703,7.910369396209717,0.9872512817382812,0.6923118233680725,,,,
0.0,0,7,9.487176895141602,8.456194877624512,1.5591647624969482,0.6897030472755432,,,,
0.0,0,8,9.313652038574219,7.717272758483887,0.8021941781044006,0.691507875919342,,,,
0.0,0,9,9.172239303588867,7.656461715698242,0.7539413571357727,0.6902520060539246,,,,
0.0,0,10,9.206266403198242,8.029054641723633,1.128603458404541,0.6900451183319092,,,,
0.0,0,11,9.599618911743164,7.8423237800598145,0.9268983602523804,0.6915425062179565,,,,
0.0,0,12,10.28952407836914,7.688538074493408,0.7645059823989868,0.6924031972885132,,,,
0.0,0,13,9.208614349365234,7.8774261474609375,0.9538745880126953,0.6923551559448242,,,,
0.0,0,14,9.482880592346191,8.016616821289062,1.0725805759429932,0.6944035887718201,,,,
0.0,0,14,,,,,10.442071914672852,7.868752479553223,0.9545590877532959,0.691419243812561
0.0,1,15,9.97995376586914,8.129868507385254,1.1920779943466187,0.6937791109085083,,,,
0.0,1,16,10.190013885498047,8.104775428771973,1.1696579456329346,0.6935117244720459,,,,
0.0,1,17,9.784537315368652,8.179328918457031,1.2836225032806396,0.6895706653594971,,,,
0.0,1,18,9.754958152770996,7.754082679748535,0.8697938323020935,0.6884288787841797,,,,
0.0,1,19,9.187566757202148,8.266854286193848,1.3853572607040405,0.6881496906280518,,,,
0.0,1,20,10.36812973022461,8.249311447143555,1.361379861831665,0.6887931227684021,,,,
0.0,1,21,9.868691444396973,7.955968856811523,1.116816520690918,0.6839152574539185,,,,
0.0,1,22,10.295893669128418,7.640348434448242,0.7507438063621521,0.6889604330062866,,,,
0.0,1,23,9.771647453308105,7.692651271820068,0.7965885996818542,0.6896063089370728,,,,
0.0,1,24,9.835166931152344,8.030922889709473,1.1424418687820435,0.6888481378555298,,,,
0.0,1,25,9.407552719116211,7.8391523361206055,0.9563773274421692,0.6882774829864502,,,,
0.0,1,26,9.42531681060791,7.826362609863281,0.9286516904830933,0.6897710561752319,,,,
0.0,1,27,9.435174942016602,8.286825180053711,1.4312947988510132,0.6855530738830566,,,,
0.0,1,28,10.011144638061523,7.953787326812744,1.0657607316970825,0.6888026595115662,,,,
0.0,1,29,9.229434967041016,8.066023826599121,1.2334039211273193,0.6832619905471802,,,,
0.0,1,29,,,,,10.517351150512695,7.833793640136719,0.9530454277992249,0.6880748271942139
0.0,2,30,9.624038696289062,8.02979564666748,1.1690160036087036,0.6860779523849487,,,,
0.0,2,31,10.100648880004883,7.726175785064697,0.828000545501709,0.6898175477981567,,,,
0.0,2,32,9.838814735412598,8.232893943786621,1.3651187419891357,0.6867774724960327,,,,
0.0,2,33,9.714641571044922,8.724279403686523,1.8629530668258667,0.6861326694488525,,,,
0.0,2,34,9.777853012084961,7.83593225479126,0.9402497410774231,0.6895682215690613,,,,
0.0,2,35,9.851423263549805,7.712748050689697,0.8443643450737,0.6868383884429932,,,,
0.0,2,36,9.618171691894531,8.206372261047363,1.3243799209594727,0.6881992220878601,,,,
0.0,2,37,8.886429786682129,8.418840408325195,1.6066741943359375,0.6812165975570679,,,,
0.0,2,38,9.77597427368164,8.506043434143066,1.6038390398025513,0.6902204155921936,,,,
0.0,2,39,10.021679878234863,7.776764869689941,0.9216832518577576,0.685508131980896,,,,
0.0,2,40,9.831550598144531,8.249420166015625,1.3844757080078125,0.6864944100379944,,,,
0.0,2,41,9.90671157836914,7.794433116912842,1.0096241235733032,0.6784809231758118,,,,
0.0,2,42,9.647673606872559,7.785468578338623,0.8962008357048035,0.6889268159866333,,,,
0.0,2,43,9.810001373291016,8.153234481811523,1.3043133020401,0.6848921179771423,,,,
0.0,2,44,10.014323234558105,7.931203842163086,1.1364511251449585,0.6794752478599548,,,,
0.0,2,44,,,,,10.593953132629395,7.807420253753662,0.9522401690483093,0.6855180263519287
0.0,3,45,9.764166831970215,7.728891849517822,0.9146028757095337,0.6814289093017578,,,,
0.0,3,46,10.659303665161133,7.640761852264404,0.7200102806091309,0.6920751333236694,,,,
0.0,3,47,9.213339805603027,7.906069278717041,1.1304421424865723,0.6775627136230469,,,,
0.0,3,48,9.646553039550781,7.6530022621154785,0.8486741781234741,0.6804327964782715,,,,
0.0,3,49,9.600541114807129,7.430353164672852,0.5729172229766846,0.6857435703277588,,,,
0.0,3,50,10.260029792785645,7.9895524978637695,1.177367091178894,0.6812185049057007,,,,
0.0,3,51,10.337177276611328,8.266839981079102,1.4621124267578125,0.680472731590271,,,,
0.0,3,52,10.165038108825684,7.738737106323242,0.8836827874183655,0.6855054497718811,,,,
0.0,3,53,9.28402328491211,7.840356826782227,1.0702340602874756,0.6770122647285461,,,,
0.0,3,54,9.24284839630127,7.68456506729126,0.9345688223838806,0.6749995946884155,,,,
0.0,3,55,10.064764022827148,7.561331272125244,0.7672833800315857,0.6794047951698303,,,,
0.0,3,56,10.322603225708008,8.413542747497559,1.675704002380371,0.6737838983535767,,,,
0.0,3,57,10.124715805053711,7.983769416809082,1.2472975254058838,0.6736471652984619,,,,
0.0,3,58,9.828128814697266,7.764534950256348,1.0172092914581299,0.6747325658798218,,,,
0.0,3,59,8.802230834960938,7.712723731994629,0.9363663196563721,0.6776357889175415,,,,
0.0,3,59,,,,,10.694904327392578,7.801750659942627,0.9536645412445068,0.684808611869812
0.0,4,60,9.877948760986328,7.549395561218262,0.7431198358535767,0.6806275844573975,,,,
0.0,4,61,10.502506256103516,8.162997245788574,1.4028315544128418,0.6760165691375732,,,,
0.0,4,62,10.144383430480957,8.637284278869629,2.054143190383911,0.6583141088485718,,,,
0.0,4,63,9.624627113342285,7.640212059020996,0.8749300837516785,0.6765282154083252,,,,
0.0,4,64,10.149412155151367,7.84602165222168,0.99934321641922,0.6846678256988525,,,,
0.0,4,65,10.137426376342773,7.450686454772949,0.6548840999603271,0.6795802116394043,,,,
0.0,4,66,10.435946464538574,7.890044689178467,1.0593105554580688,0.6830734014511108,,,,
