beta,epoch,step,train_kl_div,train_loss,train_recon_cont,val_kl_div,val_loss,val_recon_cont
0.0,0,0,2.0624685287475586,0.8376742601394653,0.8376742601394653,,,
0.0,0,1,2.29835844039917,1.250490427017212,1.250490427017212,,,
0.0,0,2,1.9458564519882202,0.8194231986999512,0.8194231986999512,,,
0.0,0,3,2.1369822025299072,0.9502657651901245,0.9502657651901245,,,
0.0,0,4,2.258408784866333,1.0701488256454468,1.0701488256454468,,,
0.0,0,5,2.327944040298462,1.194877028465271,1.194877028465271,,,
0.0,0,6,2.16269588470459,1.0539183616638184,1.0539183616638184,,,
0.0,0,7,2.3965163230895996,1.217347264289856,1.217347264289856,,,
0.0,0,8,2.431743860244751,1.1774791479110718,1.1774791479110718,,,
0.0,0,9,2.5569353103637695,1.3417068719863892,1.3417068719863892,,,
0.0,0,10,2.3660593032836914,1.0226269960403442,1.0226269960403442,,,
0.0,0,11,2.2932655811309814,1.0248194932937622,1.0248194932937622,,,
0.0,0,12,2.457770586013794,1.1259455680847168,1.1259455680847168,,,
0.0,0,13,2.4872677326202393,1.105713129043579,1.105713129043579,,,
0.0,0,14,1.2540919780731201,1.5705450773239136,1.5705450773239136,,,
0.0,0,14,,,,1.710111379623413,0.9515108466148376,0.9515108466148376
0.0,1,15,2.4535841941833496,1.097907543182373,1.097907543182373,,,
0.0,1,16,2.6530611515045166,1.136871337890625,1.136871337890625,,,
0.0,1,17,2.318005084991455,0.9120315909385681,0.9120315909385681,,,
0.0,1,18,2.612551689147949,1.1480164527893066,1.1480164527893066,,,
0.0,1,19,2.340311288833618,0.9390239119529724,0.9390239119529724,,,
0.0,1,20,3.433152675628662,1.5222618579864502,1.5222618579864502,,,
0.0,1,21,2.69785475730896,0.8835321664810181,0.8835321664810181,,,
0.0,1,22,2.732893943786621,0.9655332565307617,0.9655332565307617,,,
0.0,1,23,2.909250259399414,1.1411397457122803,1.1411397457122803,,,
0.0,1,24,2.394604206085205,0.9318453073501587,0.9318453073501587,,,
0.0,1,25,2.1814768314361572,0.7372076511383057,0.7372076511383057,,,
0.0,1,26,4.3741912841796875,1.5743263959884644,1.5743263959884644,,,
0.0,1,27,3.1777775287628174,1.1959983110427856,1.1959983110427856,,,
0.0,1,28,3.232314109802246,1.1132690906524658,1.1132690906524658,,,
0.0,1,29,1.673598051071167,1.3547645807266235,1.3547645807266235,,,
0.0,1,29,,,,2.1482038497924805,0.9564329981803894,0.9564329981803894
0.0,2,30,2.1505956649780273,0.6143813729286194,0.6143813729286194,,,
0.0,2,31,3.8428287506103516,1.474247932434082,1.474247932434082,,,
0.0,2,32,3.5997486114501953,1.1079648733139038,1.1079648733139038,,,
0.0,2,33,2.9538068771362305,0.8097763061523438,0.8097763061523438,,,
0.0,2,34,3.531273365020752,1.047956109046936,1.047956109046936,,,
0.0,2,35,3.42158842086792,1.3116668462753296,1.3116668462753296,,,
0.0,2,36,4.811214923858643,1.3149749040603638,1.3149749040603638,,,
0.0,2,37,3.520630359649658,0.8547859787940979,0.8547859787940979,,,
0.0,2,38,3.9269490242004395,1.167616367340088,1.167616367340088,,,
0.0,2,39,4.393543720245361,1.2471750974655151,1.2471750974655151,,,
0.0,2,40,3.490231990814209,0.8997257947921753,0.8997257947921753,,,
0.0,2,41,4.027521133422852,1.0691317319869995,1.0691317319869995,,,
0.0,2,42,4.224479675292969,1.0383691787719727,1.0383691787719727,,,
0.0,2,43,4.149061679840088,1.0142037868499756,1.0142037868499756,,,
0.0,2,44,2.991976261138916,1.443177580833435,1.443177580833435,,,
0.0,2,44,,,,3.2175750732421875,0.9526934027671814,0.9526934027671814
0.0,3,45,5.646685600280762,1.136385440826416,1.136385440826416,,,
0.0,3,46,3.982426643371582,0.6931992173194885,0.6931992173194885,,,
0.0,3,47,7.441097259521484,1.2447525262832642,1.2447525262832642,,,
0.0,3,48,5.780920028686523,1.0330055952072144,1.0330055952072144,,,
0.0,3,49,8.556480407714844,1.7021878957748413,1.7021878957748413,,,
0.0,3,50,8.916839599609375,1.316571831703186,1.316571831703186,,,
0.0,3,51,10.441944122314453,1.5486356019973755,1.5486356019973755,,,
0.0,3,52,5.913202285766602,0.8285354971885681,0.8285354971885681,,,
0.0,3,53,5.708645343780518,0.8482498526573181,0.8482498526573181,,,
0.0,3,54,4.793154716491699,0.6959255933761597,0.6959255933761597,,,
0.0,3,55,4.91217041015625,0.703647255897522,0.703647255897522,,,
0.0,3,56,8.215289115905762,0.8907040357589722,0.8907040357589722,,,
0.0,3,57,11.135234832763672,1.0615533590316772,1.0615533590316772,,,
0.0,3,58,8.965814590454102,1.1524776220321655,1.1524776220321655,,,
0.0,3,59,3.169247627258301,0.8618123531341553,0.8618123531341553,,,
0.0,3,59,,,,5.9079270362854,0.9491346478462219,0.9491346478462219
0.0,4,60,10.424102783203125,0.9960968494415283,0.9960968494415283,,,
0.0,4,61,7.650055885314941,0.9022459983825684,0.9022459983825684,,,
0.0,4,62,8.345230102539062,1.1827521324157715,1.1827521324157715,,,
0.0,4,63,10.772533416748047,1.002482295036316,1.002482295036316,,,
0.0,4,64,11.37260627746582,0.8245434165000916,0.8245434165000916,,,
0.0,4,65,12.045823097229004,1.1029481887817383,1.1029481887817383,,,
0.0,4,66,15.049642562866211,0.8744059801101685,0.8744059801101685,,,
0.0,4,67,11.543476104736328,0.9946319460868835,0.9946319460868835,,,
0.0,4,68,11.687898635864258,0.8911799788475037,0.8911799788475037,,,
0.0,4,69,12.932567596435547,0.8462125062942505,0.8462125062942505,,,
0.0,4,70,20.06021499633789,1.3987890481948853,1.3987890481948853,,,
0.0,4,71,13.14140796661377,0.948246419429779,0.948246419429779,,,
0.0,4,72,28.036640167236328,1.4539951086044312,1.4539951086044312,,,
0.0,4,73,12.344298362731934,0.8477956056594849,0.8477956056594849,,,
0.0,4,74,7.13727331161499,1.0958921909332275,1.0958921909332275,,,
0.0,4,74,,,,12.9083251953125,0.9448644518852234,0.9448644518852234
0.0,5,75,19.57132911682129,0.920735239982605,0.920735239982605,,,
0.0,5,76,24.739242553710938,1.156701683998108,1.156701683998108,,,
0.0,5,77,29.176494598388672,1.137923002243042,1.137923002243042,,,
0.0,5,78,18.527740478515625,0.7734262347221375,0.7734262347221375,,,
0.0,5,79,28.29327392578125,1.05303156375885,1.05303156375885,,,
0.0,5,80,73.9560775756836,1.4498929977416992,1.4498929977416992,,,
0.0,5,81,29.324495315551758,1.0206295251846313,1.0206295251846313,,,
0.0,5,82,24.921436309814453,0.8208240270614624,0.8208240270614624,,,
0.0,5,83,75.68890380859375,1.3534268140792847,1.3534268140792847,,,
0.0,5,84,34.660743713378906,0.9096709489822388,0.9096709489822388,,,
0.0,5,85,33.296146392822266,0.7386578917503357,0.7386578917503357,,,
0.0,5,86,53.55922317504883,1.0614429712295532,1.0614429712295532,,,
0.0,5,87,29.608261108398438,1.0019631385803223,1.0019631385803223,,,
0.0,5,88,85.02606964111328,1.2930577993392944,1.2930577993392944,,,
0.0,5,89,7.728527069091797,0.5316124558448792,0.5316124558448792,,,
0.0,5,89,,,,33.612308502197266,0.9353745579719543,0.9353745579719543
0.0,6,90,55.62911605834961,0.8841713070869446,0.8841713070869446,,,
0.0,6,91,121.97952270507812,1.8262065649032593,1.8262065649032593,,,
0.0,6,92,45.03441619873047,0.9236091375350952,0.9236091375350952,,,
0.0,6,93,137.33056640625,1.754593014717102,1.754593014717102,,,
0.0,6,94,76.30127716064453,1.0494798421859741,1.0494798421859741,,,
0.0,6,95,88.51661682128906,1.0310630798339844,1.0310630798339844,,,
0.0,6,96,81.52235412597656,0.9283485412597656,0.9283485412597656,,,
0.0,6,97,81.85987091064453,0.9435846209526062,0.9435846209526062,,,
0.0,6,98,56.27047348022461,0.7658292651176453,0.7658292651176453,,,
0.0,6,99,98.88875579833984,0.8403767347335815,0.8403767347335815,,,
0.0,6,100,92.72746276855469,0.7568674087524414,0.7568674087524414,,,
0.0,6,101,312.4720764160156,1.6534348726272583,1.6534348726272583,,,
0.0,6,102,80.3311767578125,0.958644688129425,0.958644688129425,,,
0.0,6,103,125.95665740966797,0.9043018817901611,0.9043018817901611,,,
0.0,6,104,81.72801208496094,0.8667619824409485,0.8667619824409485,,,
0.0,6,104,,,,90.45012664794922,0.8828256130218506,0.8828256130218506
0.0,7,105,256.6945495605469,1.0015993118286133,1.0015993118286133,,,
0.0,7,106,182.7982940673828,0.8620163202285767,0.8620163202285767,,,
0.0,7,107,185.596435546875,0.8870109915733337,0.8870109915733337,,,
0.0,7,108,93.73654174804688,0.7009577751159668,0.7009577751159668,,,
0.0,7,109,636.6393432617188,1.5799139738082886,1.5799139738082886,,,
0.0,7,110,133.82537841796875,0.7814872860908508,0.7814872860908508,,,
0.0,7,111,219.13206481933594,0.8511582612991333,0.8511582612991333,,,
0.0,7,112,272.5523986816406,1.0608291625976562,1.0608291625976562,,,
0.0,7,113,210.73434448242188,0.6293032169342041,0.6293032169342041,,,
0.0,7,114,260.77972412109375,0.7747229933738708,0.7747229933738708,,,
0.0,7,115,120.45022583007812,0.7068396210670471,0.7068396210670471,,,
0.0,7,116,233.12806701660156,0.7442705035209656,0.7442705035209656,,,
0.0,7,117,295.40283203125,0.8927063345909119,0.8927063345909119,,,
0.0,7,118,482.6037902832031,0.793051540851593,0.793051540851593,,,
0.0,7,119,86.68981170654297,0.5796594023704529,0.5796594023704529,,,
0.0,7,119,,,,223.34344482421875,0.8149598240852356,0.8149598240852356
0.0,8,120,672.7819213867188,1.0035163164138794,1.0035163164138794,,,
0.0,8,121,426.9058837890625,0.8677266836166382,0.8677266836166382,,,
0.0,8,122,1170.7783203125,1.3703548908233643,1.3703548908233643,,,
0.0,8,123,388.98919677734375,0.6729397177696228,0.6729397177696228,,,
0.0,8,124,465.70477294921875,0.8064925074577332,0.8064925074577332,,,
0.0,8,125,346.38397216796875,0.6480368375778198,0.6480368375778198,,,
0.0,8,126,499.9942626953125,0.8189153075218201,0.8189153075218201,,,
0.0,8,127,393.25164794921875,0.537580132484436,0.537580132484436,,,
0.0,8,128,672.6749877929688,0.7694628238677979,0.7694628238677979,,,
0.0,8,129,438.5390625,0.7603063583374023,0.7603063583374023,,,
0.0,8,130,420.4266662597656,0.9565715193748474,0.9565715193748474,,,
0.0,8,131,308.17132568359375,0.6956019401550293,0.6956019401550293,,,
0.0,8,132,1035.920166015625,1.0365535020828247,1.0365535020828247,,,
0.0,8,133,1069.6876220703125,0.8769118189811707,0.8769118189811707,,,
0.0,8,134,597.014404296875,0.7015373110771179,0.7015373110771179,,,
0.0,8,134,,,,364.4837341308594,0.7637484669685364,0.7637484669685364
0.0,9,135,517.7223510742188,0.9402874708175659,0.9402874708175659,,,
0.0,9,136,3549.025146484375,1.0516116619110107,1.0516116619110107,,,
0.0,9,137,764.6890869140625,0.47939303517341614,0.47939303517341614,,,
0.0,9,138,255.64256286621094,0.6231033205986023,0.6231033205986023,,,
0.0,9,139,897.9285888671875,0.9885445833206177,0.9885445833206177,,,
0.0,9,140,1327.69873046875,0.9454229474067688,0.9454229474067688,,,
0.0,9,141,928.2850952148438,0.5670263767242432,0.5670263767242432,,,
0.0,9,142,668.4811401367188,0.857079267501831,0.857079267501831,,,
