beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0,2,21,6.387131690979004,1.5241035223007202,1.1754429340362549,0.6973211169242859,,,,
0.0,2,22,6.655830383300781,1.489790678024292,1.1299293041229248,0.7197226285934448,,,,
0.0,2,23,6.384732723236084,1.486936092376709,1.1262181997299194,0.7214358448982239,,,,
0.0,2,23,,,,,7.341559886932373,1.3285561800003052,0.9506389498710632,0.7558341026306152
0.0,3,24,6.418525218963623,1.6451927423477173,1.3025680780410767,0.685249388217926,,,,
0.0,3,25,6.495862007141113,1.3788915872573853,1.030234694480896,0.6973138451576233,,,,
0.0,3,26,6.696104049682617,1.3831698894500732,1.0308276414871216,0.7046843767166138,,,,
0.0,3,27,6.570700168609619,1.364396333694458,1.0165717601776123,0.6956491470336914,,,,
0.0,3,28,6.632763862609863,1.3447538614273071,1.0002206563949585,0.689066469669342,,,,
0.0,3,29,6.685256004333496,1.1367158889770508,0.7758334279060364,0.7217650413513184,,,,
0.0,3,30,6.553908348083496,1.2522354125976562,0.8952524065971375,0.7139661312103271,,,,
0.0,3,31,5.429553508758545,1.5032572746276855,1.1787848472595215,0.6489447355270386,,,,
0.0,3,31,,,,,7.33928108215332,1.3262661695480347,0.9541248083114624,0.744282603263855
0.0,4,32,6.475955486297607,1.243711233139038,0.8910502791404724,0.7053217887878418,,,,
0.0,4,33,6.282226085662842,1.4326250553131104,1.095847487449646,0.6735550165176392,,,,
0.0,4,34,6.606026649475098,1.2459354400634766,0.8945823311805725,0.7027062177658081,,,,
0.0,4,35,6.824063777923584,1.3813278675079346,1.034895420074463,0.6928650140762329,,,,
0.0,4,36,6.1489129066467285,1.4406672716140747,1.104134202003479,0.6730660796165466,,,,
0.0,4,37,6.816441535949707,1.2929667234420776,0.9395431876182556,0.7068471312522888,,,,
0.0,4,38,6.813000202178955,1.2963171005249023,0.9329833388328552,0.7266675233840942,,,,
0.0,4,39,6.046393871307373,1.4537174701690674,1.12362802028656,0.6601789593696594,,,,
0.0,4,39,,,,,7.33488655090332,1.3280538320541382,0.9525300860404968,0.7510474920272827
0.0,5,40,6.28936767578125,1.66817307472229,1.3168282508850098,0.702689528465271,,,,
0.0,5,41,6.501950263977051,1.6630635261535645,1.317443609237671,0.6912397146224976,,,,
0.0,5,42,6.819370746612549,1.5973539352416992,1.243408441543579,0.7078908681869507,,,,
0.0,5,43,6.615502834320068,1.6856579780578613,1.3330445289611816,0.7052267789840698,,,,
0.0,5,44,6.500587463378906,1.5303397178649902,1.1815617084503174,0.6975560188293457,,,,
0.0,5,45,6.628630638122559,1.3839582204818726,1.0400340557098389,0.6878483295440674,,,,
0.0,5,46,6.418129920959473,1.546326994895935,1.199113368988037,0.6944271922111511,,,,
0.0,5,47,6.696625709533691,1.373450517654419,1.014199137687683,0.7185028791427612,,,,
0.0,5,47,,,,,7.331697463989258,1.324470043182373,0.9548483490943909,0.7392433285713196
0.0,6,48,6.1938557624816895,1.3567852973937988,1.026890754699707,0.6597892045974731,,,,
0.0,6,49,6.816753387451172,1.6531271934509277,1.2979650497436523,0.710324227809906,,,,
0.0,6,50,6.54897403717041,1.251176118850708,0.9008594155311584,0.7006333470344543,,,,
0.0,6,51,6.397122383117676,1.4740113019943237,1.1325498819351196,0.682922899723053,,,,
0.0,6,52,6.339446067810059,1.4459528923034668,1.0968248844146729,0.6982560157775879,,,,
0.0,6,53,6.338927268981934,1.8705745935440063,1.5259687900543213,0.6892116665840149,,,,
0.0,6,54,6.562801361083984,1.4496486186981201,1.1137083768844604,0.6718803644180298,,,,
