beta,epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0.0,1,22,4.447632789611816,1.7388074398040771,0.6948156952857971,1.0439916849136353,,,,
0.0,1,23,3.9622936248779297,1.848496437072754,0.6850472688674927,1.1634491682052612,,,,
0.0,1,24,4.778751373291016,2.0426268577575684,0.6935395002365112,1.3490872383117676,,,,
0.0,1,25,3.8888678550720215,1.3762273788452148,0.6888411641120911,0.6873862743377686,,,,
0.0,1,26,4.08303165435791,1.6217172145843506,0.6884738206863403,0.9332433342933655,,,,
0.0,1,27,5.160336494445801,1.8971492052078247,0.6945974826812744,1.2025517225265503,,,,
0.0,1,28,6.007262229919434,2.5690317153930664,0.6983863115310669,1.87064528465271,,,,
0.0,1,29,1.6237468719482422,1.4958083629608154,0.6828082203865051,0.8130002021789551,,,,
0.0,1,29,,,,,3.813390016555786,1.6399699449539185,0.685824453830719,0.9541454911231995
0.0,2,30,4.909234046936035,1.6587188243865967,0.6928988695144653,0.9658198952674866,,,,
0.0,2,31,5.18922233581543,1.839803695678711,0.6864491701126099,1.153354525566101,,,,
0.0,2,32,5.1891913414001465,1.699235439300537,0.68989497423172,1.009340524673462,,,,
0.0,2,33,5.447338104248047,1.651078701019287,0.6922768354415894,0.958801805973053,,,,
0.0,2,34,6.036925315856934,1.8867143392562866,0.6845486164093018,1.2021657228469849,,,,
0.0,2,35,6.857798099517822,2.266399621963501,0.6876562237739563,1.5787433385849,,,,
0.0,2,36,5.348155975341797,1.5276567935943604,0.6903667449951172,0.8372899889945984,,,,
0.0,2,37,6.321186065673828,1.847636103630066,0.6886745691299438,1.158961534500122,,,,
0.0,2,38,7.093683242797852,1.8527166843414307,0.6924859881401062,1.1602307558059692,,,,
0.0,2,39,9.923883438110352,2.4347457885742188,0.6892939805984497,1.7454516887664795,,,,
0.0,2,40,6.333373069763184,1.8766136169433594,0.6854473352432251,1.1911662817001343,,,,
0.0,2,41,5.615187644958496,1.5918338298797607,0.691381573677063,0.900452196598053,,,,
0.0,2,42,6.275435924530029,1.4699938297271729,0.6822422742843628,0.7877515554428101,,,,
0.0,2,43,10.395048141479492,2.0263710021972656,0.6890910863876343,1.3372797966003418,,,,
0.0,2,44,1.8698780536651611,1.252563238143921,0.6889958381652832,0.5635674595832825,,,,
0.0,2,44,,,,,6.170994281768799,1.6539334058761597,0.6929352879524231,0.9609980583190918
0.0,3,45,7.595183372497559,1.5585063695907593,0.6887570023536682,0.8697493672370911,,,,
0.0,3,46,9.611897468566895,1.7214844226837158,0.6843709349632263,1.0371135473251343,,,,
0.0,3,47,8.244275093078613,1.6631884574890137,0.6780687570571899,0.9851197004318237,,,,
0.0,3,48,11.445446014404297,1.7861939668655396,0.6824980974197388,1.1036958694458008,,,,
0.0,3,49,8.882179260253906,1.4951659440994263,0.6891707181930542,0.8059952259063721,,,,
0.0,3,50,7.486518859863281,1.4369475841522217,0.6891381740570068,0.7478094696998596,,,,
0.0,3,51,7.702305316925049,1.4457556009292603,0.684876561164856,0.7608790397644043,,,,
0.0,3,52,10.797881126403809,1.5541844367980957,0.682783842086792,0.8714005947113037,,,,
0.0,3,53,14.76455020904541,1.704991102218628,0.6780129075050354,1.0269781351089478,,,,
0.0,3,54,12.815836906433105,1.5519883632659912,0.6833388805389404,0.868649423122406,,,,
0.0,3,55,13.098526000976562,1.5613503456115723,0.6772759556770325,0.8840744495391846,,,,
0.0,3,56,17.3685302734375,1.8208376169204712,0.6800590753555298,1.1407785415649414,,,,
0.0,3,57,13.168128967285156,1.6937259435653687,0.6907128095626831,1.0030131340026855,,,,
0.0,3,58,13.267133712768555,1.5449233055114746,0.6949828863143921,0.8499404191970825,,,,
0.0,3,59,5.983214378356934,1.7513580322265625,0.6768743395805359,1.0744836330413818,,,,
0.0,3,59,,,,,12.217488288879395,1.6448602676391602,0.6864257454872131,0.9584344029426575
0.0,4,60,14.619402885437012,1.5686845779418945,0.6876401901245117,0.881044328212738,,,,
0.0,4,61,20.166133880615234,1.8728805780410767,0.6786645650863647,1.194216012954712,,,,
0.0,4,62,13.320192337036133,1.3839064836502075,0.6838551759719849,0.7000513076782227,,,,
0.0,4,63,28.740175247192383,1.9926704168319702,0.683751106262207,1.3089193105697632,,,,
0.0,4,64,22.31926155090332,1.6610921621322632,0.6833155155181885,0.9777766466140747,,,,
0.0,4,65,27.650413513183594,1.7542698383331299,0.6861875057220459,1.068082332611084,,,,
0.0,4,66,15.609209060668945,1.4551515579223633,0.6938285231590271,0.7613230347633362,,,,
0.0,4,67,24.6362247467041,1.790493130683899,0.6742889881134033,1.1162041425704956,,,,
0.0,4,68,21.216115951538086,1.5369908809661865,0.6750643849372864,0.8619265556335449,,,,
0.0,4,69,45.562705993652344,1.839195728302002,0.6641494035720825,1.1750463247299194,,,,
0.0,4,70,40.314369201660156,2.039442539215088,0.6734777092933655,1.3659648895263672,,,,
0.0,4,71,49.71435546875,2.1073360443115234,0.6641095876693726,1.4432264566421509,,,,
0.0,4,72,45.84751892089844,1.7936644554138184,0.674856424331665,1.1188080310821533,,,,
0.0,4,73,33.794952392578125,1.8296329975128174,0.6725610494613647,1.1570719480514526,,,,
0.0,4,74,26.53200912475586,2.0856802463531494,0.6540963053703308,1.4315840005874634,,,,
0.0,4,74,,,,,29.670639038085938,1.6162244081497192,0.6716287732124329,0.9445956349372864
0.0,5,75,57.549354553222656,1.8884508609771729,0.6692093014717102,1.2192416191101074,,,,
0.0,5,76,66.2967529296875,1.769197702407837,0.6492785215377808,1.1199191808700562,,,,
0.0,5,77,87.012451171875,2.1470649242401123,0.6524385213851929,1.4946264028549194,,,,
0.0,5,78,43.4193115234375,1.6415932178497314,0.6668094396591187,0.9747838377952576,,,,
0.0,5,79,59.88276672363281,1.5962096452713013,0.6582586169242859,0.9379510283470154,,,,
0.0,5,80,100.63063049316406,1.7744948863983154,0.627352774143219,1.1471420526504517,,,,
0.0,5,81,71.44801330566406,1.6354897022247314,0.6502195000648499,0.9852702617645264,,,,
0.0,5,82,82.96031951904297,1.5942935943603516,0.6410682201385498,0.9532253742218018,,,,
0.0,5,83,85.7088623046875,1.833360195159912,0.6412975192070007,1.1920627355575562,,,,
0.0,5,84,118.64982604980469,1.6349859237670898,0.626358151435852,1.0086277723312378,,,,
0.0,5,85,93.76690673828125,1.4826710224151611,0.6496161818504333,0.833054780960083,,,,
0.0,5,86,139.64678955078125,1.8907867670059204,0.6313517093658447,1.2594350576400757,,,,
0.0,5,87,130.6763916015625,1.754801869392395,0.6313766241073608,1.1234252452850342,,,,
0.0,5,88,64.76118469238281,1.353804588317871,0.6643611788749695,0.6894433498382568,,,,
0.0,5,89,57.39012908935547,1.702221393585205,0.6144620776176453,1.087759256362915,,,,
0.0,5,89,,,,,83.90937042236328,1.5547550916671753,0.6436545252799988,0.9111005067825317
0.0,6,90,210.22146606445312,1.886406660079956,0.5796186327934265,1.3067880868911743,,,,
0.0,6,91,113.98799133300781,1.43800950050354,0.6265069246292114,0.8115026354789734,,,,
0.0,6,92,141.3558349609375,1.4914159774780273,0.6301405429840088,0.8612753748893738,,,,
0.0,6,93,207.8453369140625,1.4666004180908203,0.575737714767456,0.8908626437187195,,,,
0.0,6,94,143.81454467773438,1.5150346755981445,0.6002379655838013,0.914796769618988,,,,
0.0,6,95,487.54534912109375,2.1662039756774902,0.5253162384033203,1.64088773727417,,,,
0.0,6,96,208.4896697998047,1.6255427598953247,0.589855432510376,1.0356873273849487,,,,
0.0,6,97,145.41537475585938,1.4255239963531494,0.6150429844856262,0.8104810118675232,,,,
0.0,6,98,308.89593505859375,1.8334770202636719,0.5574166774749756,1.2760603427886963,,,,
0.0,6,99,372.18963623046875,1.5669522285461426,0.5650225877761841,1.0019296407699585,,,,
0.0,6,100,141.6033935546875,1.3945751190185547,0.5869691371917725,0.8076059222221375,,,,
