beta,epoch,step,train_decoder_sigma,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_decoder_sigma,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0,0,0,0.9930739402770996,2.0588388442993164,1.7797094583511353,1.420907974243164,0.7176029682159424,,,,,
0.0,0,1,0.9897765517234802,2.2371714115142822,1.7851330041885376,1.4348622560501099,0.7005414366722107,,,,,
0.0,0,2,0.9909032583236694,1.5517362356185913,1.8213356733322144,1.4774123430252075,0.6878466606140137,,,,,
0.0,0,3,0.989427387714386,1.9493199586868286,1.8107450008392334,1.464637041091919,0.6922159790992737,,,,,
0.0,0,4,0.9901018738746643,1.6859352588653564,1.7039064168930054,1.3553811311721802,0.6970505714416504,,,,,
0.0,0,5,0.9895785450935364,1.3971762657165527,1.8668748140335083,1.4938238859176636,0.7461019158363342,,,,,
0.0,0,6,0.99062579870224,1.6016921997070312,1.8503882884979248,1.506295084953308,0.6881864070892334,,,,,
0.0,0,7,0.9867120385169983,1.6781023740768433,2.049211263656616,1.6936439275741577,0.7111347317695618,,,,,
0.0,0,7,,,,,,0.9904980659484863,1.2522169351577759,1.774910569190979,1.4066330194473267,0.7365551590919495
0.0,1,8,0.990890383720398,1.3674840927124023,1.7793010473251343,1.4316151142120361,0.6953719258308411,,,,,
0.0,1,9,0.990919291973114,1.8889033794403076,1.8079922199249268,1.4537882804870605,0.708407998085022,,,,,
0.0,1,10,0.9915459156036377,1.6379121541976929,1.6711525917053223,1.3132169246673584,0.7158713936805725,,,,,
0.0,1,11,0.9889633655548096,2.0923993587493896,1.9398735761642456,1.590937614440918,0.6978719234466553,,,,,
0.0,1,12,0.9916743636131287,1.7919247150421143,1.9631547927856445,1.6212494373321533,0.6838106513023376,,,,,
0.0,1,13,0.9893231987953186,1.6975610256195068,1.717172622680664,1.352875828742981,0.7285935878753662,,,,,
0.0,1,14,0.9912512898445129,1.8693554401397705,1.6793780326843262,1.3310422897338867,0.6966715455055237,,,,,
0.0,1,15,0.9912490248680115,1.4028496742248535,1.6118817329406738,1.251253366470337,0.7212567329406738,,,,,
0.0,1,15,,,,,,0.9907485842704773,1.258784294128418,1.7510900497436523,1.4112979173660278,0.6795839071273804
0.0,2,16,0.9911580681800842,1.6325109004974365,1.8612852096557617,1.4972130060195923,0.7281445264816284,,,,,
0.0,2,17,0.9922546744346619,1.8775700330734253,1.7769207954406738,1.428680419921875,0.6964807510375977,,,,,
