epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0,0,3.6449151039123535,1.7773759365081787,0.6943261623382568,1.0794048309326172,,,,
0,1,3.7272303104400635,2.2957255840301514,0.6943336129188538,1.597664713859558,,,,
0,2,3.518986701965332,2.2269105911254883,0.6911112070083618,1.5322802066802979,,,,
0,3,3.225938081741333,1.7247754335403442,0.689056932926178,1.0324926376342773,,,,
0,4,2.9569509029388428,1.5386074781417847,0.6921055316925049,0.8435450196266174,,,,
0,5,2.9950203895568848,1.8062806129455566,0.6926604509353638,1.110625147819519,,,,
0,6,2.8992433547973633,1.7648391723632812,0.6925959587097168,1.0693439245224,,,,
0,7,2.8860464096069336,1.9695441722869873,0.6928871870040894,1.2737709283828735,,,,
0,8,2.9867963790893555,2.5137648582458496,0.6942760944366455,1.8165019750595093,,,,
0,9,2.89717960357666,2.4299228191375732,0.6915945410728455,1.7354309558868408,,,,
0,10,2.700674057006836,1.7316884994506836,0.6911188364028931,1.0378689765930176,,,,
0,11,2.592322826385498,1.4641139507293701,0.6893037557601929,0.772217869758606,,,,
0,12,2.590542793273926,2.0137290954589844,0.6923298835754395,1.3188084363937378,,,,
0,13,2.4522898197174072,1.4247556924819946,0.6872742176055908,0.7350292801856995,,,,
0,14,0.9744052886962891,1.70058274269104,0.6895201802253723,1.0100880861282349,,,,
0,14,,,,,2.0363428592681885,1.641345739364624,0.6871011853218079,0.9522082805633545
1,15,2.454801082611084,1.6705647706985474,0.6923705339431763,0.9757394790649414,,,,
1,16,2.3485119342803955,1.6646593809127808,0.6936466097831726,0.9686642289161682,,,,
1,17,2.4105703830718994,1.8035869598388672,0.691909670829773,1.109266757965088,,,,
1,18,2.3200888633728027,1.7033895254135132,0.6896015405654907,1.0114679336547852,,,,
1,19,2.279346227645874,1.4979182481765747,0.6935383677482605,0.802100419998169,,,,
1,20,2.313042163848877,1.577752947807312,0.6916977167129517,0.8837422132492065,,,,
1,21,2.266427755355835,1.8339734077453613,0.6927962899208069,1.1389107704162598,,,,
1,22,2.2558093070983887,1.742801308631897,0.6958852410316467,1.0446603298187256,,,,
1,23,2.1812500953674316,1.8521244525909424,0.6859467625617981,1.1639964580535889,,,,
1,24,2.262737274169922,2.046367883682251,0.6947912573814392,1.3493138551712036,,,,
1,25,2.1598916053771973,1.379570722579956,0.6897668838500977,0.6876440644264221,,,,
1,26,2.0449812412261963,1.6247429847717285,0.6892778873443604,0.9334200620651245,,,,
1,27,2.182196855545044,1.9019347429275513,0.6963627338409424,1.2033897638320923,,,,
1,28,2.26578688621521,2.5733933448791504,0.6999439597129822,1.8711836338043213,,,,
1,29,0.805651068687439,1.49834406375885,0.68401700258255,0.8135214447975159,,,,
1,29,,,,,1.750756025314331,1.6433981657028198,0.6869900822639465,0.9546573162078857
2,30,2.0655360221862793,1.6631269454956055,0.6945891380310059,0.9664722681045532,,,,
2,31,2.076610565185547,1.8443528413772583,0.687901496887207,1.1543747186660767,,,,
2,32,2.1521811485290527,1.7044328451156616,0.6919840574264526,1.0102965831756592,,,,
2,33,2.1460704803466797,1.6553092002868652,0.6938729882240295,0.959290087223053,,,,
2,34,2.1019749641418457,1.892536997795105,0.6865435242652893,1.2038915157318115,,,,
2,35,2.2070562839508057,2.273023843765259,0.6896699666976929,1.5811468362808228,,,,
2,36,2.0242831707000732,1.5323692560195923,0.6919199228286743,0.8384250998497009,,,,
2,37,2.0598955154418945,1.853684902191162,0.6912125945091248,1.1604124307632446,,,,
2,38,2.1604580879211426,1.859075903892517,0.6946818232536316,1.162233591079712,,,,
2,39,2.5847764015197754,2.444518804550171,0.6930693984031677,1.7488646507263184,,,,
2,40,1.9744952917099,1.8829247951507568,0.6879616975784302,1.192988634109497,,,,
2,41,1.9528465270996094,1.5961110591888428,0.6930806636810303,0.9010774493217468,,,,
2,42,2.028884172439575,1.4767811298370361,0.6857991218566895,0.7889530658721924,,,,
2,43,2.5986905097961426,2.0344371795654297,0.6924533843994141,1.3393850326538086,,,,
2,44,0.7368754744529724,1.2540429830551147,0.6898998618125916,0.5634063482284546,,,,
2,44,,,,,1.783524751663208,1.6579482555389404,0.6944448351860046,0.9617198705673218
3,45,2.1359713077545166,1.5655901432037354,0.6920750141143799,0.8713791370391846,,,,
3,46,2.393357515335083,1.7309775352478027,0.6884943246841431,1.0400898456573486,,,,
3,47,2.13840651512146,1.670971155166626,0.6818931102752686,0.9869396686553955,,,,
3,48,2.5555529594421387,1.7973796129226685,0.6868271827697754,1.1079968214035034,,,,
3,49,2.138563394546509,1.5034561157226562,0.6928571462631226,0.8084602952003479,,,,
3,50,2.031362533569336,1.4440851211547852,0.6926325559616089,0.7494211792945862,,,,
3,51,2.0658676624298096,1.453847885131836,0.6890438795089722,0.7627381682395935,,,,
3,52,2.3380913734436035,1.5665794610977173,0.6885253190994263,0.8757160902023315,,,,
3,53,2.886444091796875,1.7215744256973267,0.6856752038002014,1.0330127477645874,,,,
3,54,2.575758934020996,1.56920325756073,0.6920408606529236,0.8745866417884827,,,,
3,55,2.6769986152648926,1.578272819519043,0.6850890517234802,0.8905068635940552,,,,
3,56,3.126288890838623,1.8394434452056885,0.6884530782699585,1.1478641033172607,,,,
3,57,2.489223003387451,1.7040683031082153,0.6954285502433777,1.006150484085083,,,,
3,58,2.6080644130706787,1.5576577186584473,0.7009661197662354,0.8540835380554199,,,,
3,59,1.1223735809326172,1.7658207416534424,0.6833269596099854,1.0813714265823364,,,,
3,59,,,,,2.2994041442871094,1.654412031173706,0.6908449530601501,0.9612677097320557
4,60,2.715193033218384,1.5808454751968384,0.6926850080490112,0.8854451775550842,,,,
4,61,3.2999634742736816,1.8910460472106934,0.6873881816864014,1.2003579139709473,,,,
4,62,2.5049867630004883,1.3994499444961548,0.6932104825973511,0.7037345170974731,,,,
4,63,4.151656150817871,2.020737886428833,0.693848729133606,1.3227375745773315,,,,
4,64,3.4362521171569824,1.6787029504776,0.6930598020553589,0.9822068810462952,,,,
4,65,4.174633979797363,1.7773363590240479,0.6940993070602417,1.0790624618530273,,,,
4,66,2.619361162185669,1.464990258216858,0.6980972290039062,0.7642736434936523,,,,
4,67,3.6002044677734375,1.810605764389038,0.6826636791229248,1.1243418455123901,,,,
4,68,2.99314022064209,1.5601341724395752,0.6869646310806274,0.8701764941215515,,,,
4,69,5.691300392150879,1.8895769119262695,0.6844577789306641,1.199427843093872,,,,
4,70,4.82888650894165,2.0805716514587402,0.6880199909210205,1.3877226114273071,,,,
4,71,5.666205406188965,2.157674551010132,0.683069109916687,1.468939185142517,,,,
4,72,5.292603492736816,1.8409367799758911,0.6915040016174316,1.1441401243209839,,,,
4,73,3.899264097213745,1.8621677160263062,0.6850227117538452,1.1732457876205444,,,,
4,74,2.8521413803100586,2.1500537395477295,0.683590829372406,1.4636107683181763,,,,
4,74,,,,,3.5224761962890625,1.6473815441131592,0.6856854557991028,0.9581735730171204
5,75,5.945058822631836,1.9500550031661987,0.6910710334777832,1.2530388832092285,,,,
5,76,6.766654968261719,1.8505300283432007,0.6831405162811279,1.1606228351593018,,,,
5,77,8.349052429199219,2.239790678024292,0.683649480342865,1.5477923154830933,,,,
5,78,4.63210916519165,1.6891213655471802,0.6854798197746277,0.999009370803833,,,,
5,79,5.980226516723633,1.6560429334640503,0.6854207515716553,0.9646419286727905,,,,
5,80,8.67507266998291,1.8914735317230225,0.6745041012763977,1.2082942724227905,,,,
5,81,6.675707817077637,1.7138023376464844,0.6812288165092468,1.0258978605270386,,,,
5,82,7.313296318054199,1.6894586086273193,0.6843060851097107,0.9978392720222473,,,,
5,83,7.175549507141113,1.9264942407608032,0.6819957494735718,1.2373229265213013,,,,
5,84,9.762895584106445,1.7779618501663208,0.6838609576225281,1.0843379497528076,,,,
5,85,7.489570617675781,1.5853971242904663,0.6903479099273682,0.8875595927238464,,,,
5,86,10.880132675170898,2.037893533706665,0.6829867362976074,1.3440265655517578,,,,
5,87,10.239290237426758,1.887734055519104,0.6779308915138245,1.1995638608932495,,,,
5,88,5.473376274108887,1.406221866607666,0.6891735792160034,0.711574912071228,,,,
5,89,4.289593696594238,1.8510332107543945,0.6789373755455017,1.1678061485290527,,,,
